regNo,courseCode,marks,grade
24BCE10006,PHY1003,80,A
24BCE10006,CHY1005,58,D
24BCE10006,CSA2001,87,A
24BCE10006,CSE3001,35,F
24BCE10006,CSE2006,79,B
24BCE10006,CSE2002,94,S
24BCE10006,MAT2005,68,C
24BCE10006,MAT3002,83,A
24BCE10006,ENG1004,55,D
24BCE10006,ENG2005,64,C
24BCE10007,CSE2001,40,E
24BCE10007,CSE1021,85,A
24BCE10007,MAT1003,73,B
24BCE10007,PHY1003,44,E
24BCE10007,CHY1005,90,S
24BCE10007,CSA2001,67,C
24BCE10007,CSE3001,77,B
24BCE10007,CSE2006,56,D
24BCE10007,CSE2002,69,C
24BCE10007,MAT2005,60,C
24BCE10007,MAT3002,48,E
24BCE10007,ENG1004,81,A
24BCE10007,ENG2005,93,S
24BCE10008,CSE2001,87,A
24BCE10008,CSE1021,46,E
24BCE10008,MAT1003,73,B
24BCE10008,PHY1003,51,D
24BCE10008,CHY1005,38,F
24BCE10008,CSA2001,79,B
24BCE10008,CSE3001,82,A
24BCE10008,CSE2006,45,E
24BCE10008,CSE2002,88,A
24BCE10008,MAT2005,67,C
24BCE10008,MAT3002,54,D
24BCE10008,ENG1004,78,B
24BCE10008,ENG2005,72,B
24BCE10009,CSE2001,69,C
24BCE10009,CSE1021,80,A
24BCE10009,MAT1003,34,F
24BCE10009,PHY1003,92,S
24BCE10009,CHY1005,77,B
24BCE10009,CSA2001,58,D
24BCE10009,CSE3001,63,C
24BCE10009,CSE2006,72,B
24BCE10009,CSE2002,83,A
24BCE10009,MAT2005,69,C
24BCE10009,MAT3002,65,C
24BCE10009,ENG1004,44,E
24BCE10009,ENG2005,55,D
24BCE10010,CSE2001,79,B
24BCE10010,CSE1021,91,S
24BCE10010,MAT1003,67,C
24BCE10010,PHY1003,59,D
24BCE10010,CHY1005,42,E
24BCE10010,CSA2001,86,A
24BCE10010,CSE3001,38,F
24BCE10010,CSE2006,74,B
24BCE10010,CSE2002,90,S
24BCE10010,MAT2005,60,C
24BCE10010,MAT3002,71,B
24BCE10010,ENG1004,81,A
24BCE10010,ENG2005,52,D
24BCE10011,CSE2001,57,D
24BCE10011,CSE1021,48,E
24BCE10011,MAT1003,65,C
24BCE10011,PHY1003,88,A
24BCE10011,CHY1005,79,B
24BCE10011,CSA2001,46,E
24BCE10011,CSE3001,35,F
24BCE10011,CSE2006,93,S
24BCE10011,CSE2002,74,B
24BCE10011,MAT2005,81,A
24BCE10011,MAT3002,49,E
24BCE10011,ENG1004,67,C
24BCE10011,ENG2005,54,D
24BCE10012,CSE2001,90,S
24BCE10012,CSE1021,75,B
24BCE10012,MAT1003,62,C
24BCE10012,PHY1003,84,A
24BCE10012,CHY1005,44,E
24BCE10012,CSA2001,39,F
24BCE10012,CSE3001,66,C
24BCE10012,CSE2006,73,B
24BCE10012,CSE2002,82,A
24BCE10012,MAT2005,54,D
24BCE10012,MAT3002,89,A
24BCE10012,ENG1004,76,B
24BCE10012,ENG2005,71,B
24BCE10013,CSE2001,83,A
24BCE10013,CSE1021,70,B
24BCE10013,MAT1003,58,D
24BCE10013,PHY1003,49,E
24BCE10013,CHY1005,39,F
24BCE10013,CSA2001,77,B
24BCE10013,CSE3001,85,A
24BCE10013,CSE2006,42,E
24BCE10013,CSE2002,66,C
24BCE10013,MAT2005,55,D
24BCE10013,MAT3002,93,S
24BCE10013,ENG1004,63,C
24BCE10013,ENG2005,79,B
24BCE10014,CSE2001,52,D
24BCE10014,CSE1021,88,A
24BCE10014,MAT1003,90,S
24BCE10014,PHY1003,44,E
24BCE10014,CHY1005,61,C
24BCE10014,CSA2001,70,B
24BCE10014,CSE3001,33,F
24BCE10014,CSE2006,83,A
24BCE10014,CSE2002,48,E
24BCE10014,MAT2005,59,D
24BCE10014,MAT3002,75,B
24BCE10014,ENG1004,89,A
24BCE10014,ENG2005,62,C
24BCE10015,CSE2001,80,A
24BCE10015,CSE1021,56,D
24BCE10015,MAT1003,77,B
24BCE10015,PHY1003,43,E
24BCE10015,CHY1005,68,C
24BCE10015,CSA2001,83,A
24BCE10015,CSE3001,33,F
24BCE10015,CSE2006,90,S
24BCE10015,CSE2002,57,D
24BCE10015,MAT2005,64,C
24BCE10015,MAT3002,71,B
24BCE10015,ENG1004,79,B
24BCE10015,ENG2005,60,C
24BCE10016,CSE2001,44,E
24BCE10016,CSE1021,74,B
24BCE10016,MAT1003,51,D
24BCE10016,PHY1003,65,C
24BCE10016,CHY1005,89,A
24BCE10016,CSA2001,40,E
24BCE10016,CSE3001,36,F
24BCE10016,CSE2006,68,C
24BCE10016,CSE2002,79,B
24BCE10016,MAT2005,57,D
24BCE10016,MAT3002,69,C
24BCE10016,ENG1004,87,A
24BCE10016,ENG2005,95,S
24BCE10017,CSE2001,53,D
24BCE10017,CSE1021,67,C
24BCE10017,MAT1003,84,A
24BCE10017,PHY1003,45,E
24BCE10017,CHY1005,76,B
24BCE10017,CSA2001,88,A
24BCE10017,CSE3001,38,F
24BCE10017,CSE2006,66,C
24BCE10017,CSE2002,69,C
24BCE10017,MAT2005,91,S
24BCE10017,MAT3002,56,D
24BCE10017,ENG1004,72,B
24BCE10017,ENG2005,79,B
24BCE10018,CSE2001,73,B
24BCE10018,CSE1021,94,S
24BCE10018,MAT1003,41,E
24BCE10018,PHY1003,70,B
24BCE10018,CHY1005,58,D
24BCE10018,CSA2001,64,C
24BCE10018,CSE3001,81,A
24BCE10018,CSE2006,67,C
24BCE10018,CSE2002,55,D
24BCE10018,MAT2005,79,B
24BCE10018,MAT3002,76,B
24BCE10018,ENG1004,83,A
24BCE10018,ENG2005,49,E
24BCE10019,CSE2001,60,C
24BCE10019,CSE1021,78,B
24BCE10019,MAT1003,40,E
24BCE10019,PHY1003,62,C
24BCE10019,CHY1005,88,A
24BCE10019,CSA2001,53,D
24BCE10019,CSE3001,79,B
24BCE10019,CSE2006,85,A
24BCE10019,CSE2002,44,E
24BCE10019,MAT2005,56,D
24BCE10019,MAT3002,69,C
24BCE10019,ENG1004,71,B
24BCE10019,ENG2005,90,S
